text,hs_code,hs_chapter,hs_chapter_name,hs_desc,language
"Medicaments; containing alkaloids or their derivatives, containing norephedrine or its salts, for therapeutic or prophylactic uses, (not packaged for retail sale)",300343,HS 30,HS 30,"Medicaments; containing alkaloids or their derivatives, containing norephedrine or its salts, for therapeutic or prophylactic uses, (not packaged for retail sale)",en
Silk; woven fabrics n.e.c. in heading no. 5007,500790,HS 50,HS 50,Silk; woven fabrics n.e.c. in heading no. 5007,en
"Copper; foil, not backed, of a thickness not exceeding 0.15mm, of refined copper",741011,HS 74,HS 74,"Copper; foil, not backed, of a thickness not exceeding 0.15mm, of refined copper",en
"Wood; assembled flooring panels, not of bamboo or with at least the top layer (wear layer) of bamboo, multilayer, for bulk procurement program, palletized for container shipment.",441875,HS 44,HS 44,"Wood; assembled flooring panels, not of bamboo or with at least the top layer (wear layer) of bamboo, multilayer",en
"Printed circuits, meeting international standards, for regional retail supply chain, palletized for container shipment.",853400,HS 85,Electronics,Printed circuits,en
"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",020120,HS 02,HS 02,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",en
"Locks; of a kind used for motor vehicles (key, combination or electrically operated), of base metal",830120,HS 83,HS 83,"Locks; of a kind used for motor vehicles (key, combination or electrically operated), of base metal",en
"Motorcycles (including mopeds) and cycles; n.e.c. in heading no. 8711, fitted with auxiliary motor, with or without side-cars; side-cars, for bulk procurement program, for 20ft container loading.",871190,HS 87,HS 87,"Motorcycles (including mopeds) and cycles; n.e.c. in heading no. 8711, fitted with auxiliary motor, with or without side-cars; side-cars",en
Machinery; intake air filters for internal combustion engines,842131,HS 84,HS 84,Machinery; intake air filters for internal combustion engines,en
"Electrical capacitors; fixed, ceramic dielectric, multilayer",853224,HS 85,HS 85,"Electrical capacitors; fixed, ceramic dielectric, multilayer",en
"Quaternary ammonium salts and hydroxides; tetraethylammonium perfluorooctane sulphonate, whether or not chemically defined",292330,HS 29,HS 29,"Quaternary ammonium salts and hydroxides; tetraethylammonium perfluorooctane sulphonate, whether or not chemically defined",en
"Stones; of marble, in granules, chippings and powder, whether or not heat-treated",251741,HS 25,HS 25,"Stones; of marble, in granules, chippings and powder, whether or not heat-treated",en
"Iron or steel; structures and parts thereof, n.e.c. in heading 7308",730890,HS 73,Steel,Other structures of iron or steel,en
"Paper, cigarette; (other than in rolls of a width not exceeding 5cm, or in booklets or tubes), for regional retail supply chain, packed in cartons.",481390,HS 48,HS 48,"Paper, cigarette; (other than in rolls of a width not exceeding 5cm, or in booklets or tubes)",en
"Propylene, other olefin polymers; polyisobutylene in primary forms",390220,HS 39,HS 39,"Propylene, other olefin polymers; polyisobutylene in primary forms",en
Fungicides; other than containing goods specified in Subheading Note 1 to this Chapter; put up in forms or packings for retail sale or as preparations or articles,380892,HS 38,HS 38,Fungicides; other than containing goods specified in Subheading Note 1 to this Chapter; put up in forms or packings for retail sale or as preparations or articles,en
"Derivatives of hydrocarbons; perfluorooctane sulphonyl fluoride, whether or not halogenated",290436,HS 29,HS 29,"Derivatives of hydrocarbons; perfluorooctane sulphonyl fluoride, whether or not halogenated",en
"全白米 长粒型 散装出口, for industrial procurement contract, for 20ft container loading.",100630,HS 10,Cereals,Semi-milled or wholly milled rice,zh
"Cotton T-shirts, men's, knitted, crew neck, for export under standard commercial terms, shipping term CIF.",610910,HS 61,Garments,"T-shirts and singlets, cotton, knitted",en
"Photographic paper, paperboard and textiles; in rolls, sensitised, unexposed, of a width exceeding 610mm, for industrial procurement contract, palletized for container shipment.",370310,HS 37,HS 37,"Photographic paper, paperboard and textiles; in rolls, sensitised, unexposed, of a width exceeding 610mm",en
"Tubes; microwave, magnetrons, excluding grid-controlled tubes, for bulk procurement program, shipping term CIF.",854071,HS 85,HS 85,"Tubes; microwave, magnetrons, excluding grid-controlled tubes",en
"Cranes; self-propelled derricks and cranes, not on tyres, n.e.c. in heading no. 8426, for customs clearance and import declaration, for 20ft container loading.",842649,HS 84,HS 84,"Cranes; self-propelled derricks and cranes, not on tyres, n.e.c. in heading no. 8426",en
"Waste and scrap of lead-acid accumulators; spent lead-acid accumulators, for export under standard commercial terms, for mixed-lot cargo.",854911,HS 85,HS 85,Waste and scrap of lead-acid accumulators; spent lead-acid accumulators,en
"Acids; acyclic polycarboxylic acids; adipic acid, its salts and esters",291712,HS 29,HS 29,"Acids; acyclic polycarboxylic acids; adipic acid, its salts and esters",en
"Export grade cold-rolled iron or steel coil, certified",720917,HS 72,Steel,Cold-rolled iron or steel coil,en
"Organic raw cotton, not processed",520100,HS 52,Textiles,"Cotton, not carded or combed",en
"Imported other cheese, customs declaration",040690,HS 04,Dairy,Other cheese,en
"Fabrics, woven; containing 85% or more by weight of synthetic filaments (excluding nylon or other polyamides and polyesters), dyed, for export under standard commercial terms, packed in cartons.",540772,HS 54,HS 54,"Fabrics, woven; containing 85% or more by weight of synthetic filaments (excluding nylon or other polyamides and polyesters), dyed",en
"Saturated fluorinated derivatives of acyclic hydrocarbons; fluoromethane (HFC-41), 1,2-difluoroethane (HFC-152) and 1,1-difluoroethane (HFC-152a)",290343,HS 29,HS 29,"Saturated fluorinated derivatives of acyclic hydrocarbons; fluoromethane (HFC-41), 1,2-difluoroethane (HFC-152) and 1,1-difluoroethane (HFC-152a)",en
"เมล็ดกาแฟเขียว ไม่ได้คั่ว ไม่ได้สกัดคาเฟอีน, for cross-border shipment, for 20ft container loading.",090111,HS 09,Coffee/Tea,"Coffee, not roasted, not decaffeinated",th
"Export grade cocoa beans, whole or broken, certified, for cross-border shipment, for 20ft container loading.",180100,HS 18,Cocoa,"Cocoa beans, whole or broken",en
"Blood pressure medication, packaged, retail",300490,HS 30,Pharmaceuticals,"Other medicaments, packaged for retail",en
"Green apples, fresh, retail ready packaging, for cross-border shipment, palletized for container shipment.",080810,HS 08,Fruits,Fresh apples,en
"Lead; sheets, strip and foil, of a thickness (excluding any backing) not exceeding 0.2mm",780411,HS 78,HS 78,"Lead; sheets, strip and foil, of a thickness (excluding any backing) not exceeding 0.2mm",en
"Zip-lock bags, polyethylene, various sizes",392321,HS 39,Plastics,Sacks and bags of ethylene polymers,en
"Plastics; builders' ware, reservoirs, tanks, vats and similar containers of a capacity exceeding 300 litres, for customs clearance and import declaration, for 20ft container loading.",392510,HS 39,HS 39,"Plastics; builders' ware, reservoirs, tanks, vats and similar containers of a capacity exceeding 300 litres",en
"Insulated electric conductors; winding wire, (of other than copper)",854419,HS 85,HS 85,"Insulated electric conductors; winding wire, (of other than copper)",en
"Nonwovens; whether or not impregnated, coated, covered or laminated, not of man-made filaments, (weighing more than 70g/m2 but not more than 150g/m2), for bulk procurement program, palletized for container shipment.",560393,HS 56,HS 56,"Nonwovens; whether or not impregnated, coated, covered or laminated, not of man-made filaments, (weighing more than 70g/m2 but not more than 150g/m2)",en
"Machinery; parts and accessories of the machines of item no. 8470.30. 8470.50 or 8470.90 (other than covers, carrying cases and the like)",847329,HS 84,HS 84,"Machinery; parts and accessories of the machines of item no. 8470.30. 8470.50 or 8470.90 (other than covers, carrying cases and the like)",en
"Fish; fresh or chilled, blue whitings (Micromesistius poutassou, Micromesistius australis),excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",030256,HS 03,HS 03,"Fish; fresh or chilled, blue whitings (Micromesistius poutassou, Micromesistius australis),excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",en
Carbon; carbon blacks and other forms of carbon n.e.c.,280300,HS 28,HS 28,Carbon; carbon blacks and other forms of carbon n.e.c.,en
"Tea, black; (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg",090240,HS 09,HS 09,"Tea, black; (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg",en
"Basic cotton singlets, knitted, multipack",610910,HS 61,Garments,"T-shirts and singlets, cotton, knitted",en
"Luminaires and light fittings; electric, lighting strings of a kind used for Christmas trees, for other than use solely with light-emitting diode (LED) light sources, for bonded warehouse delivery, for mixed-lot cargo.",940539,HS 94,HS 94,"Luminaires and light fittings; electric, lighting strings of a kind used for Christmas trees, for other than use solely with light-emitting diode (LED) light sources",en
"Meat and edible meat offal; of rabbits or hares, fresh, chilled or frozen",020810,HS 02,HS 02,"Meat and edible meat offal; of rabbits or hares, fresh, chilled or frozen",en
"Regulating or controlling instruments and apparatus; automatic, other than hydraulic or pneumatic",903289,HS 90,HS 90,"Regulating or controlling instruments and apparatus; automatic, other than hydraulic or pneumatic",en
"Slag, ash and residues; (not from the manufacture of iron or steel), containing mainly zinc, other than hard zinc spelter, for industrial procurement contract, shipping term CIF.",262019,HS 26,HS 26,"Slag, ash and residues; (not from the manufacture of iron or steel), containing mainly zinc, other than hard zinc spelter",en
"Bicycles and other cycles; including delivery tricycles, not motorised",871200,HS 87,HS 87,"Bicycles and other cycles; including delivery tricycles, not motorised",en
